text,label,language
"यह अनुभव बहुत अच्छा था",1,Hindi
"यह बिलकुल भी अच्छा नहीं लगा",0,Hindi
"இது ஒரு சிறந்த அனுபவம்",1,Tamil
"இது மிகவும் மோசமாக இருந்தது",0,Tamil
"ఇది చాలా బాగుంది",1,Telugu
"ఇది అసలు బాగోలేదు",0,Telugu
"ಇದು ಚೆನ್ನಾಗಿ ಮಾಡಲಾಗಿದೆ",1,Kannada
"ಇದು ತುಂಬಾ ಕೆಟ್ಟ ಅನುಭವ",0,Kannada
"ഇത് വളരെ നല്ലതാണ്",1,Malayalam
"ഇത് ഭയങ്കര മോശമാണ്",0,Malayalam
"এটা দারুণ লেগেছে",1,Bengali
"এটা খুব খারাপ ছিল",0,Bengali
"આ બહુ સરસ છે",1,Gujarati
"આ ખુબ ખરાબ છે",0,Gujarati
"हे खूप छान आहे",1,Marathi
"हे अजिबात चांगलं नाही",0,Marathi
"ਇਹ ਬਹੁਤ ਵਧੀਆ ਸੀ",1,Punjabi
"ਇਹ ਬਿਲਕੁਲ ਖਰਾਬ ਸੀ",0,Punjabi
"ଏହା ବହୁତ ଭଲ ଥିଲା",1,Odia
"ଏହା ବହୁତ ଖରାପ ଥିଲା",0,Odia
"এইটা খুব ভাল আছিল",1,Assamese
"এইটা একদম খারাপ",0,Assamese
"یہ بہت اچھا تھا",1,Urdu
"یہ بہت برا تھا",0,Urdu
"This was amazing!",1,English
"This was terrible.",0,English
