text,language,sentiment_label,toxicity_label
Sample English text. great,English,1,0
Sample Kannada text. good,Kannada,1,0
Sample Gujarati text. disappointing,Gujarati,0,0
Sample Tamil text. good,Tamil,1,0
Sample Marathi text. fool,Marathi,0,1
Sample Gujarati text. good,Gujarati,1,0
Sample Odia text. bad,Odia,0,0
Sample Assamese text. stupid,Assamese,0,1
Sample Telugu text. disappointing,Telugu,0,0
Sample Tamil text. stupid,Tamil,0,1
Sample English text. great,English,1,0
Sample Telugu text. awesome,Telugu,1,0
Sample Hindi text. good,Hindi,1,0
Sample Tamil text. dumb,Tamil,0,1
Sample Odia text. super,Odia,1,0
Sample Kannada text. terrible,Kannada,0,0
Sample Bengali text. good,Bengali,1,0
Sample Kannada text. idiot,Kannada,0,1
Sample Malayalam text. idiot,Malayalam,0,1
Sample Malayalam text. awesome,Malayalam,1,0
Sample Punjabi text. disappointing,Punjabi,0,0
Sample Hindi text. terrible,Hindi,0,0
Sample Assamese text. fool,Assamese,0,1
Sample Marathi text. disappointing,Marathi,0,0
Sample Urdu text. nice,Urdu,1,0
Sample Malayalam text. fool,Malayalam,0,1
Sample Punjabi text. great,Punjabi,1,0
Sample Odia text. nice,Odia,1,0
Sample Hindi text. idiot,Hindi,0,1
Sample Gujarati text. dumb,Gujarati,0,1
Sample Marathi text. nice,Marathi,1,0
Sample Gujarati text. stupid,Gujarati,0,1
Sample Urdu text. good,Urdu,1,0
Sample English text. dumb,English,0,1
Sample Assamese text. disappointing,Assamese,0,0
Sample Punjabi text. idiot,Punjabi,0,1
Sample Gujarati text. excellent,Gujarati,1,0
Sample Malayalam text. stupid,Malayalam,0,1
Sample Malayalam text. good,Malayalam,1,0
Sample Malayalam text. worst,Malayalam,0,0
Sample Punjabi text. nice,Punjabi,1,0
Sample Marathi text. sad,Marathi,0,0
Sample Urdu text. nice,Urdu,1,0
Sample Malayalam text. great,Malayalam,1,0
Sample Odia text. super,Odia,1,0
Sample Punjabi text. bad,Punjabi,0,0
Sample Kannada text. excellent,Kannada,1,0
Sample English text. sad,English,0,0
Sample Malayalam text. disappointing,Malayalam,0,0
Sample Punjabi text. dumb,Punjabi,0,1
Sample Odia text. nice,Odia,1,0
Sample Tamil text. stupid,Tamil,0,1
Sample Gujarati text. worst,Gujarati,0,0
Sample Bengali text. terrible,Bengali,0,0
Sample Assamese text. sad,Assamese,0,0
Sample Assamese text. worst,Assamese,0,0
Sample Malayalam text. super,Malayalam,1,0
Sample Odia text. great,Odia,1,0
Sample Assamese text. worst,Assamese,0,0
Sample Marathi text. stupid,Marathi,0,1
Sample Telugu text. bad,Telugu,0,0
Sample Telugu text. idiot,Telugu,0,1
Sample Assamese text. worst,Assamese,0,0
Sample Assamese text. great,Assamese,1,0
Sample Punjabi text. disappointing,Punjabi,0,0
Sample Marathi text. awesome,Marathi,1,0
Sample Telugu text. great,Telugu,1,0
Sample Marathi text. great,Marathi,1,0
Sample Kannada text. super,Kannada,1,0
Sample Urdu text. disappointing,Urdu,0,0
Sample Marathi text. excellent,Marathi,1,0
Sample Hindi text. great,Hindi,1,0
